uid,type,I see myself as someone who...   - 3. Does a thorough job,"I see myself as someone who...   - 4. Is depressed, blue",I see myself as someone who...   - 8. Can be somewhat careless,"I see myself as someone who...   - 9. Is relaxed, handles stress well.",I see myself as someone who...   - 13. Is a reliable worker,I see myself as someone who...   - 14. Can be tense,I see myself as someone who...   - 18. Tends to be disorganized,I see myself as someone who...   - 19. Worries a lot,I see myself as someone who...   - 23. Tends to be lazy,"I see myself as someone who...   - 24. Is emotionally stable, not easily upset",I see myself as someone who...   - 28. Perseveres until the task is finished,I see myself as someone who...   - 29. Can be moody,I see myself as someone who...   - 33. Does things efficiently,I see myself as someone who...   - 34. Remains calm in tense situations,I see myself as someone who...   - 38. Makes plans and follows through with them,I see myself as someone who...   - 39. Gets nervous easily,I see myself as someone who...   - 43. Is easily distracted,BIgFive_Conscientious,BigFive_Neuroticism
u00,pre,3,3,4,3,4,5,3,3,3,5,5,4,2,2,3,2,4,27,25
u01,pre,5,5,2,4,5,2,2,3,2,3,5,4,5,5,4,2,2,40,22
u02,pre,5,1,2,3,5,4,1,4,2,2,4,4,5,2,4,4,4,38,28
u03,pre,4,3,2,3,4,4,2,4,2,4,4,4,4,3,3,4,2,35,27
u04,pre,3,2,4,1,3,4,4,5,4,1,3,4,3,2,4,4,4,24,33
u05,pre,5,1,1,4,5,4,1,3,2,4,4,4,4,4,5,4,3,40,22
u07,pre,5,3,2,4,4,2,2,2,2,4,3,,4,4,3,2,3,34,15
u09,pre,4,1,4,4,4,2,4,2,3,4,3,2,3,4,1,4,4,24,17
u10,pre,5,3,1,4,5,3,2,5,1,3,5,5,5,4,5,4,2,43,27
u12,pre,4,2,3,4,4,4,4,5,2,3,4,3,4,4,4,2,2,33,23
u13,pre,2,2,5,1,3,4,5,2,3,3,4,5,3,3,3,3,4,22,27
u14,pre,5,1,3,3,5,3,4,,,5,3,3,4,4,3,4,4,33,17
u15,pre,4,1,4,3,4,4,4,3,4,4,4,4,4,4,3,3,3,28,22
u17,pre,5,4,5,2,5,4,4,5,3,4,5,4,3,5,3,1,3,30,25
u19,pre,4,3,4,3,4,4,3,5,3,3,4,4,4,3,4,4,3,31,29
u20,pre,4,2,2,3,4,3,3,2,3,4,3,2,3,4,3,3,3,30,19
u23,pre,4,4,4,3,3,4,3,3,2,2,3,4,4,3,3,5,5,27,30
u24,pre,2,3,4,3,2,2,4,4,4,2,2,2,5,3,2,4,4,21,25
u27,pre,3,3,4,3,4,3,4,3,3,3,3,3,2,3,3,4,4,24,25
u31,pre,4,3,4,3,4,3,4,4,4,4,3,4,3,2,3,2,3,26,25
u32,pre,5,1,1,5,4,2,2,3,3,5,5,2,5,4,5,2,3,39,14
u34,pre,3,1,4,4,4,4,3,3,4,5,4,4,3,2,3,4,2,28,23
u35,pre,4,2,2,4,4,3,2,2,3,2,3,2,3,3,4,3,3,32,21
u36,pre,4,1,3,4,4,3,2,1,2,5,4,2,3,3,4,1,2,34,14
u39,pre,4,2,4,4,4,4,4,3,4,4,3,4,4,3,4,4,3,28,24
u42,pre,3,3,4,4,3,2,4,3,4,3,2,3,4,4,2,2,4,22,20
u44,pre,4,1,4,4,4,4,1,1,2,4,5,2,4,3,4,3,4,34,18
u46,pre,5,2,3,2,4,3,3,4,3,3,5,4,4,2,3,4,4,32,28
u47,pre,4,2,4,5,4,3,2,2,3,4,4,3,5,5,2,2,3,31,16
u49,pre,5,1,4,5,5,4,4,3,3,4,4,4,4,4,4,3,2,33,20
u50,pre,4,2,3,4,4,3,2,2,3,4,4,4,4,4,4,3,4,32,20
u51,pre,4,2,3,3,4,3,2,4,3,4,4,3,4,3,4,2,2,34,22
u53,pre,5,3,5,2,5,5,5,5,3,2,5,5,3,1,2,5,5,26,36
u58,pre,2,3,3,2,5,4,1,4,5,3,4,4,5,2,5,5,4,32,31
u59,pre,3,3,4,4,4,3,4,4,5,5,2,4,4,5,4,5,5,23,23
u00,post,3,3,4,4,5,4,5,4,2,3,4,4,2,3,3,1,4,26,24
u01,post,5,5,2,4,5,3,2,3,3,3,5,4,5,5,4,2,3,38,23
u02,post,4,2,2,2,5,4,2,4,3,4,4,3,5,3,4,4,4,35,26
u03,post,4,4,2,3,3,2,2,4,2,3,4,2,4,4,4,4,2,35,24
u04,post,4,3,4,1,3,5,4,5,2,1,3,4,2,1,3,5,5,24,37
u05,post,5,1,1,4,5,3,2,3,3,4,4,3,4,4,5,3,3,38,19
u07,post,4,3,4,4,4,4,2,3,3,2,3,3,3,4,3,2,4,28,23
u09,post,4,1,4,3,4,3,4,3,3,5,4,2,5,5,2,2,4,28,16
u10,post,5,2,1,4,5,3,1,4,1,3,5,5,5,3,5,3,1,45,25
u14,post,5,1,3,4,4,4,3,4,3,5,5,2,4,5,3,3,3,33,18
u15,post,4,1,4,4,4,3,4,3,4,4,4,3,4,4,3,4,3,28,20
u17,post,4,4,4,2,4,5,5,5,3,2,5,4,3,3,4,5,3,29,34
u19,post,5,4,4,2,4,4,3,5,2,2,5,4,3,3,4,4,2,34,32
u20,post,4,3,3,3,4,3,2,3,4,5,3,2,3,4,4,3,3,30,20
u23,post,4,5,4,1,5,5,3,5,2,4,5,5,3,2,4,,4,32,31
u24,post,3,3,4,3,4,4,4,4,4,4,3,3,5,4,4,4,5,26,25
u27,post,3,3,4,3,3,2,4,4,3,3,4,4,3,3,3,4,4,25,26
u31,post,5,1,2,4,4,4,4,5,4,3,4,3,4,2,3,5,5,29,27
u32,post,5,1,1,5,5,2,1,2,4,5,5,2,5,5,5,2,2,41,12
u34,post,4,1,4,4,5,4,4,3,4,4,3,4,4,2,2,4,2,28,24
u35,post,4,2,3,4,4,2,2,2,4,4,2,3,3,3,,3,2,26,19
u36,post,5,2,3,4,5,3,1,2,2,4,4,2,4,3,3,2,2,37,18
u42,post,2,1,4,4,4,3,3,2,4,3,2,2,4,4,2,2,2,25,17
u44,post,4,3,4,3,4,4,2,3,3,3,4,4,4,3,3,3,3,31,26
u47,post,4,1,2,3,2,2,1,2,1,5,2,2,2,3,5,1,2,33,15
u49,post,5,1,4,5,5,4,4,2,4,5,5,2,4,3,4,3,2,33,17
u51,post,4,2,4,4,4,4,2,2,3,4,4,2,4,4,4,2,2,33,18
u53,post,5,2,4,1,5,5,5,5,3,2,4,5,3,2,3,5,5,27,35
u54,post,3,2,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,28,22
u58,post,4,2,,1,5,5,1,4,1,4,5,3,5,2,5,5,5,41,30
u59,post,4,2,4,4,4,3,3,4,5,4,4,4,4,4,3,5,5,26,24
